table_order,model_id,variant,model_label,evidence_class,panel_order,panel,evaluation,n,available,absolute_rmse,delta_rmse_dlg_minus_comparator,delta_rmse_ci95_low,delta_rmse_ci95_high,delta_rmse_ci99_low,delta_rmse_ci99_high,significance_tier,paired_inference_vs_dlg,is_lowest_point_estimate
5,ulrich_consensus_adaptation,retrained,Consensus GNN,independently retrained official-code adaptation,3,R03,TDC OOF,7985.0,True,1.6854256994173853,-0.6990920459073303,-0.8580144040807652,-0.5731342130002592,-0.9202568210788766,-0.5491474575990651,***,resolved,False
5,ulrich_consensus_adaptation,retrained,Consensus GNN,independently retrained official-code adaptation,4,R04,TDC supplied test,1997.0,True,1.799812658315522,-0.7982630478655726,-1.119770086800448,-0.5086941517840201,-1.2304484755123322,-0.4593265967647335,***,resolved,False
5,ulrich_consensus_adaptation,retrained,Consensus GNN,independently retrained official-code adaptation,5,R05,JCheM supplied test,980.0,True,0.8095256288436748,-0.1951631211836642,-0.2509848911827235,-0.141422026212275,-0.2695108904565486,-0.1248761304227151,***,resolved,False
5,ulrich_consensus_adaptation,retrained,Consensus GNN,independently retrained official-code adaptation,6,R09,ComPlat supplied test,1282.0,True,0.8241674504760942,-0.2642317736931947,-0.3045943494415781,-0.2227251655918368,-0.3170239425123317,-0.208047618026024,***,resolved,False
6,ulrich_consensus,released,Consensus GNN,authors' released predictions,1,R01,AqSolDBc OOF,,False,,,,,,,,not available,False
6,ulrich_consensus,released,Consensus GNN,authors' released predictions,2,R02,ComPlat OOF,,False,,,,,,,,not available,False
6,ulrich_consensus,released,Consensus GNN,authors' released predictions,3,R03,TDC OOF,,False,,,,,,,,not available,False
6,ulrich_consensus,released,Consensus GNN,authors' released predictions,4,R04,TDC supplied test,,False,,,,,,,,not available,False
6,ulrich_consensus,released,Consensus GNN,authors' released predictions,5,R05,JCheM supplied test,980.0,True,0.6571010511024981,-0.0427385434424874,-0.0755353083448666,-0.0081884818159997,-0.0875477458105118,0.0033068438024238,**,resolved,False
6,ulrich_consensus,released,Consensus GNN,authors' released predictions,6,R09,ComPlat supplied test,,False,,,,,,,,not available,False
