representation,predictor,split,group,trial,tag,model_detail,hidden,depth,dropout,lr,weight_decay,batch_size,max_epochs,best_epoch,device,val_rmse,external_rmse,n,rmse,mae,r2,bias,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,reg_alpha,reg_lambda,max_bin,params,method,k,weights,metric
chemberta__three_d_gnn,mlp,Train,all,47,external_best_pair,TorchMLP,384.0,2.0,0.45,0.0007552888294695,0.0003488956789854,256.0,360.0,62.0,cuda:0,0.8037519850046376,1.2491763739349726,6437,0.2390162357742217,0.1726288348436355,0.9892787337303162,0.0110298860818147,,,,,,,,,,,,,,
chemberta__three_d_gnn,mlp,Train,not_all6_bad,47,external_best_pair,TorchMLP,384.0,2.0,0.45,0.0007552888294695,0.0003488956789854,256.0,360.0,62.0,cuda:0,0.8037519850046376,1.2491763739349726,6437,0.2390162357742217,0.1726288348436355,0.9892787337303162,0.0110298860818147,,,,,,,,,,,,,,
chemberta__three_d_gnn,mlp,Val,all,47,external_best_pair,TorchMLP,384.0,2.0,0.45,0.0007552888294695,0.0003488956789854,256.0,360.0,62.0,cuda:0,0.8037519850046376,1.2491763739349726,1610,0.8037519850046376,0.5504387021064758,0.8782437443733215,0.0129051152616739,,,,,,,,,,,,,,
chemberta__three_d_gnn,mlp,Val,all6_bad,47,external_best_pair,TorchMLP,384.0,2.0,0.45,0.0007552888294695,0.0003488956789854,256.0,360.0,62.0,cuda:0,0.8037519850046376,1.2491763739349726,74,2.367801699886232,2.20719838142395,0.4577076435089111,-0.3123314976692199,,,,,,,,,,,,,,
chemberta__three_d_gnn,mlp,Val,not_all6_bad,47,external_best_pair,TorchMLP,384.0,2.0,0.45,0.0007552888294695,0.0003488956789854,256.0,360.0,62.0,cuda:0,0.8037519850046376,1.2491763739349726,1536,0.6379939923511814,0.4706208705902099,0.9195514917373656,0.0285740699619054,,,,,,,,,,,,,,
chemberta__three_d_gnn,mlp,External,all,47,external_best_pair,TorchMLP,384.0,2.0,0.45,0.0007552888294695,0.0003488956789854,256.0,360.0,62.0,cuda:0,0.8037519850046376,1.2491763739349726,2251,1.2491763739349726,0.8437864780426025,0.6086249351501465,-0.0987621396780014,,,,,,,,,,,,,,
chemberta__three_d_gnn,mlp,External,all6_bad,47,external_best_pair,TorchMLP,384.0,2.0,0.45,0.0007552888294695,0.0003488956789854,256.0,360.0,62.0,cuda:0,0.8037519850046376,1.2491763739349726,256,2.9599552991430134,2.727266788482666,-0.1497131586074829,-0.6866495609283447,,,,,,,,,,,,,,
chemberta__three_d_gnn,mlp,External,not_all6_bad,47,external_best_pair,TorchMLP,384.0,2.0,0.45,0.0007552888294695,0.0003488956789854,256.0,360.0,62.0,cuda:0,0.8037519850046376,1.2491763739349726,1995,0.7977575389131661,0.6020967960357666,0.8181912302970886,-0.0233239382505416,,,,,,,,,,,,,,
chemberta__three_d_gnn,xgb,Train,all,34,external_top_pair_alt_head,XGBRegressor,,,,,,,,,,0.8184334441467209,1.285258419532408,6437,0.0669747101810054,0.0502595268189907,0.9991582036018372,-8.836175402393565e-05,1800.0,4.0,0.0562226263092247,0.6,0.7,20.0,0.0021039104694251,2.8826140062969405,256.0,,,,,
chemberta__three_d_gnn,xgb,Train,not_all6_bad,34,external_top_pair_alt_head,XGBRegressor,,,,,,,,,,0.8184334441467209,1.285258419532408,6437,0.0669747101810054,0.0502595268189907,0.9991582036018372,-8.836175402393565e-05,1800.0,4.0,0.0562226263092247,0.6,0.7,20.0,0.0021039104694251,2.8826140062969405,256.0,,,,,
chemberta__three_d_gnn,xgb,Val,all,34,external_top_pair_alt_head,XGBRegressor,,,,,,,,,,0.8184334441467209,1.285258419532408,1610,0.8184334441467209,0.5680945515632629,0.8737550973892212,-0.004389532841742,1800.0,4.0,0.0562226263092247,0.6,0.7,20.0,0.0021039104694251,2.8826140062969405,256.0,,,,,
chemberta__three_d_gnn,xgb,Val,all6_bad,34,external_top_pair_alt_head,XGBRegressor,,,,,,,,,,0.8184334441467209,1.285258419532408,74,2.3598513090846995,2.1802520751953125,0.4613432288169861,-0.3277567625045776,1800.0,4.0,0.0562226263092247,0.6,0.7,20.0,0.0021039104694251,2.8826140062969405,256.0,,,,,
chemberta__three_d_gnn,xgb,Val,not_all6_bad,34,external_top_pair_alt_head,XGBRegressor,,,,,,,,,,0.8184334441467209,1.285258419532408,1536,0.6586430830935541,0.4904254376888275,0.914259672164917,0.0111893592402338,1800.0,4.0,0.0562226263092247,0.6,0.7,20.0,0.0021039104694251,2.8826140062969405,256.0,,,,,
chemberta__three_d_gnn,xgb,External,all,34,external_top_pair_alt_head,XGBRegressor,,,,,,,,,,0.8184334441467209,1.285258419532408,2251,1.285258419532408,0.8729894757270813,0.5856889486312866,-0.1536803692579269,1800.0,4.0,0.0562226263092247,0.6,0.7,20.0,0.0021039104694251,2.8826140062969405,256.0,,,,,
chemberta__three_d_gnn,xgb,External,all6_bad,34,external_top_pair_alt_head,XGBRegressor,,,,,,,,,,0.8184334441467209,1.285258419532408,256,3.009962071784956,2.767752170562744,-0.1888889074325561,-0.7297221422195435,1800.0,4.0,0.0562226263092247,0.6,0.7,20.0,0.0021039104694251,2.8826140062969405,256.0,,,,,
chemberta__three_d_gnn,xgb,External,not_all6_bad,34,external_top_pair_alt_head,XGBRegressor,,,,,,,,,,0.8184334441467209,1.285258419532408,1995,0.8374311347660872,0.6298519968986511,0.7996584177017212,-0.0797622427344322,1800.0,4.0,0.0562226263092247,0.6,0.7,20.0,0.0021039104694251,2.8826140062969405,256.0,,,,,
chemberta__three_d_gnn,ridge,Train,all,2,external_top_pair_linear_check,ridge_alpha_0.03162,,,,,,,,,,0.8622283037685083,1.297941068457665,6437,0.3452556213726471,0.2601992487907409,0.9776296615600586,-1.3459890624289986e-07,,,,,,,,,,"{'alpha': 0.03162277660168379, 'copy_X': True, 'fit_intercept': True, 'max_iter': None, 'positive': False, 'random_state': None, 'solver': 'auto', 'tol': 0.0001}",,,,
chemberta__three_d_gnn,ridge,Train,not_all6_bad,2,external_top_pair_linear_check,ridge_alpha_0.03162,,,,,,,,,,0.8622283037685083,1.297941068457665,6437,0.3452556213726471,0.2601992487907409,0.9776296615600586,-1.3459890624289986e-07,,,,,,,,,,"{'alpha': 0.03162277660168379, 'copy_X': True, 'fit_intercept': True, 'max_iter': None, 'positive': False, 'random_state': None, 'solver': 'auto', 'tol': 0.0001}",,,,
chemberta__three_d_gnn,ridge,Val,all,2,external_top_pair_linear_check,ridge_alpha_0.03162,,,,,,,,,,0.8622283037685083,1.297941068457665,1610,0.8622283037685083,0.6102364659309387,0.8598827123641968,-0.0032881186343729,,,,,,,,,,"{'alpha': 0.03162277660168379, 'copy_X': True, 'fit_intercept': True, 'max_iter': None, 'positive': False, 'random_state': None, 'solver': 'auto', 'tol': 0.0001}",,,,
chemberta__three_d_gnn,ridge,Val,all6_bad,2,external_top_pair_linear_check,ridge_alpha_0.03162,,,,,,,,,,0.8622283037685083,1.297941068457665,74,2.397301519808007,2.231157064437866,0.4441108703613281,-0.3701294064521789,,,,,,,,,,"{'alpha': 0.03162277660168379, 'copy_X': True, 'fit_intercept': True, 'max_iter': None, 'positive': False, 'random_state': None, 'solver': 'auto', 'tol': 0.0001}",,,,
chemberta__three_d_gnn,ridge,Val,not_all6_bad,2,external_top_pair_linear_check,ridge_alpha_0.03162,,,,,,,,,,0.8622283037685083,1.297941068457665,1536,0.7087862773135206,0.5321452617645264,0.9007077217102051,0.0143852205947041,,,,,,,,,,"{'alpha': 0.03162277660168379, 'copy_X': True, 'fit_intercept': True, 'max_iter': None, 'positive': False, 'random_state': None, 'solver': 'auto', 'tol': 0.0001}",,,,
chemberta__three_d_gnn,ridge,External,all,2,external_top_pair_linear_check,ridge_alpha_0.03162,,,,,,,,,,0.8622283037685083,1.297941068457665,2251,1.297941068457665,0.8902117609977722,0.5774719715118408,-0.1291475445032119,,,,,,,,,,"{'alpha': 0.03162277660168379, 'copy_X': True, 'fit_intercept': True, 'max_iter': None, 'positive': False, 'random_state': None, 'solver': 'auto', 'tol': 0.0001}",,,,
chemberta__three_d_gnn,ridge,External,all6_bad,2,external_top_pair_linear_check,ridge_alpha_0.03162,,,,,,,,,,0.8622283037685083,1.297941068457665,256,3.01302165979601,2.745306968688965,-0.1913070678710937,-0.6779334545135498,,,,,,,,,,"{'alpha': 0.03162277660168379, 'copy_X': True, 'fit_intercept': True, 'max_iter': None, 'positive': False, 'random_state': None, 'solver': 'auto', 'tol': 0.0001}",,,,
chemberta__three_d_gnn,ridge,External,not_all6_bad,2,external_top_pair_linear_check,ridge_alpha_0.03162,,,,,,,,,,0.8622283037685083,1.297941068457665,1995,0.8578414759232491,0.6521644592285156,0.78977370262146,-0.0587268881499767,,,,,,,,,,"{'alpha': 0.03162277660168379, 'copy_X': True, 'fit_intercept': True, 'max_iter': None, 'positive': False, 'random_state': None, 'solver': 'auto', 'tol': 0.0001}",,,,
chemberta__brics_gnn,xgb,Train,all,2,external_top_subgroup_alt_head,XGBRegressor,,,,,,,,,,0.8538636080887051,1.275592361548501,6437,0.2391379386952865,0.1706726849079132,0.9892678260803224,0.0026703448966145,400.0,7.0,0.009192988530208,0.9,0.35,4.0,0.0,4.006636934772656,256.0,,,,,
chemberta__brics_gnn,xgb,Train,not_all6_bad,2,external_top_subgroup_alt_head,XGBRegressor,,,,,,,,,,0.8538636080887051,1.275592361548501,6437,0.2391379386952865,0.1706726849079132,0.9892678260803224,0.0026703448966145,400.0,7.0,0.009192988530208,0.9,0.35,4.0,0.0,4.006636934772656,256.0,,,,,
chemberta__brics_gnn,xgb,Val,all,2,external_top_subgroup_alt_head,XGBRegressor,,,,,,,,,,0.8538636080887051,1.275592361548501,1610,0.8538636080887051,0.5992898344993591,0.8625881671905518,-0.0087916767224669,400.0,7.0,0.009192988530208,0.9,0.35,4.0,0.0,4.006636934772656,256.0,,,,,
chemberta__brics_gnn,xgb,Val,all6_bad,2,external_top_subgroup_alt_head,XGBRegressor,,,,,,,,,,0.8538636080887051,1.275592361548501,74,2.45072197299782,2.3083386421203613,0.419060468673706,-0.3328622579574585,400.0,7.0,0.009192988530208,0.9,0.35,4.0,0.0,4.006636934772656,256.0,,,,,
chemberta__brics_gnn,xgb,Val,not_all6_bad,2,external_top_subgroup_alt_head,XGBRegressor,,,,,,,,,,0.8538636080887051,1.275592361548501,1536,0.6890970234429223,0.5169528126716614,0.906147599220276,0.0068210996687412,400.0,7.0,0.009192988530208,0.9,0.35,4.0,0.0,4.006636934772656,256.0,,,,,
chemberta__brics_gnn,xgb,External,all,2,external_top_subgroup_alt_head,XGBRegressor,,,,,,,,,,0.8538636080887051,1.275592361548501,2251,1.275592361548501,0.8741775751113892,0.5918973684310913,-0.0838672518730163,400.0,7.0,0.009192988530208,0.9,0.35,4.0,0.0,4.006636934772656,256.0,,,,,
chemberta__brics_gnn,xgb,External,all6_bad,2,external_top_subgroup_alt_head,XGBRegressor,,,,,,,,,,0.8538636080887051,1.275592361548501,256,2.9978327870425634,2.7514355182647705,-0.1793264150619506,-0.6763594746589661,400.0,7.0,0.009192988530208,0.9,0.35,4.0,0.0,4.006636934772656,256.0,,,,,
chemberta__brics_gnn,xgb,External,not_all6_bad,2,external_top_subgroup_alt_head,XGBRegressor,,,,,,,,,,0.8538636080887051,1.275592361548501,1995,0.8262639636938834,0.6332862377166748,0.8049658536911011,-0.0078381709754467,400.0,7.0,0.009192988530208,0.9,0.35,4.0,0.0,4.006636934772656,256.0,,,,,
chemberta__murcko_gnn,xgb,Train,all,68,external_top_subgroup_alt_head,XGBRegressor,,,,,,,,,,0.8530061715898934,1.288879705241981,6437,0.0826877453900211,0.0626242160797119,0.9987168908119202,1.2882918781542683e-05,1000.0,7.0,0.0153567445453665,1.0,0.35,1.0,1.0845879923566005e-06,1.784725363417658,512.0,,,,,
chemberta__murcko_gnn,xgb,Train,not_all6_bad,68,external_top_subgroup_alt_head,XGBRegressor,,,,,,,,,,0.8530061715898934,1.288879705241981,6437,0.0826877453900211,0.0626242160797119,0.9987168908119202,1.2882918781542683e-05,1000.0,7.0,0.0153567445453665,1.0,0.35,1.0,1.0845879923566005e-06,1.784725363417658,512.0,,,,,
chemberta__murcko_gnn,xgb,Val,all,68,external_top_subgroup_alt_head,XGBRegressor,,,,,,,,,,0.8530061715898934,1.288879705241981,1610,0.8530061715898934,0.5932195782661438,0.8628640174865723,-0.0049363863654434,1000.0,7.0,0.0153567445453665,1.0,0.35,1.0,1.0845879923566005e-06,1.784725363417658,512.0,,,,,
chemberta__murcko_gnn,xgb,Val,all6_bad,68,external_top_subgroup_alt_head,XGBRegressor,,,,,,,,,,0.8530061715898934,1.288879705241981,74,2.465642881147287,2.2889249324798584,0.411965012550354,-0.4069648385047912,1000.0,7.0,0.0153567445453665,1.0,0.35,1.0,1.0845879923566005e-06,1.784725363417658,512.0,,,,,
chemberta__murcko_gnn,xgb,Val,not_all6_bad,68,external_top_subgroup_alt_head,XGBRegressor,,,,,,,,,,0.8530061715898934,1.288879705241981,1536,0.6854097712864666,0.5115253925323486,0.9071492552757264,0.0144321741536259,1000.0,7.0,0.0153567445453665,1.0,0.35,1.0,1.0845879923566005e-06,1.784725363417658,512.0,,,,,
