track,search_space,trials_completed,models_evaluated,selected_iteration,mean_model_holdout_rmse,model_rmse_population_sd,mean_model_holdout_mae,ensemble_mean_prediction_rmse,published_value,published_metric_label,source_status
S-PAPER,paper-reported,50,10,38,1.0420579244,0.0618623545,0.8267014184,0.8554128779,0.777 +/- 0.02,RMSE,NOT_REPRODUCED
S-CODE,public-code-implemented,50,10,38,1.0066920362,0.0517212210,0.8051296342,0.9491806298,0.777 +/- 0.02,RMSE,NOT_REPRODUCED
