evaluation_id,evaluation,axis,level,level_index,n,sparse_n_lt_100,xgb_evidentiary_status,neural_evidentiary_status,dlg_mae,xgb_mae,neural_mae,delta_mae_xgb,delta_mae_xgb_ci95_low,delta_mae_xgb_ci95_high,delta_mae_neural,delta_mae_neural_ci95_low,delta_mae_neural_ci95_high,bootstrap_seed_xgb,bootstrap_seed_neural
R04,TDC supplied Test,Aromatic ring,no,10,451,False,exploratory_paired_row_bootstrap,exploratory_paired_row_bootstrap,0.6087589019021556,0.6449514707727272,0.6477034900526387,-0.0361925688705715,-0.056649700449288,-0.0155602710767299,-0.038944588150483,-0.0585786061971587,-0.0190432246605418,20263923,20263924
R04,TDC supplied Test,Aromatic ring,yes,11,1546,False,exploratory_paired_row_bootstrap,exploratory_paired_row_bootstrap,0.7383702042554859,0.8107420287119017,0.7382270465392109,-0.0723718244564157,-0.0878388659497309,-0.056938578210765,0.000143157716275,-0.014361422415016,0.0149281636847593,20263933,20263934
R04,TDC supplied Test,N-containing heterocycle,no,12,1097,False,exploratory_paired_row_bootstrap,exploratory_paired_row_bootstrap,0.681757674791541,0.7369020365008205,0.6991872229342206,-0.0551443617092795,-0.0714941640054593,-0.0390142093423979,-0.0174295481426796,-0.0331691095753262,-0.0015711128347204,20263943,20263944
R04,TDC supplied Test,N-containing heterocycle,yes,13,900,False,exploratory_paired_row_bootstrap,exploratory_paired_row_bootstrap,0.7424249236561477,0.817665284073,0.7404498937828,-0.0752403604168523,-0.0955289611669464,-0.0546381602639023,0.0019750298733476,-0.0162494817098749,0.0205811903765763,20263953,20263954
R04,TDC supplied Test,Carboxyl group,no,14,1784,False,exploratory_paired_row_bootstrap,exploratory_paired_row_bootstrap,0.6809266867782711,0.7430700675973094,0.6932811038269844,-0.0621433808190383,-0.0758019495868016,-0.0487817827006096,-0.0123544170487133,-0.0251560790223978,0.0003453240401333,20263963,20263964
R04,TDC supplied Test,Carboxyl group,yes,15,213,False,exploratory_paired_row_bootstrap,exploratory_paired_row_bootstrap,0.945058175232009,1.0264943150868544,0.923003749934366,-0.0814361398548454,-0.1241148236990013,-0.0417829457552574,0.0220544252976429,-0.017516562325643,0.0629796417804051,20263973,20263974
R05,JCheM supplied Test,Molecular weight,<250 Da,0,586,False,exploratory_paired_row_bootstrap,exploratory_paired_row_bootstrap,0.3626113051383182,0.3847428046113481,0.374912001707546,-0.0221314994730298,-0.0339865904322578,-0.0101626657557777,-0.0123006965692278,-0.0242219372942455,-0.0006632267728857,20264823,20264824
R05,JCheM supplied Test,Molecular weight,250--<400 Da,1,308,False,exploratory_paired_row_bootstrap,exploratory_paired_row_bootstrap,0.4678202386016145,0.5037701935746752,0.4793075704603896,-0.0359499549730607,-0.056925327476442,-0.0142115721373329,-0.011487331858775,-0.0329482514987113,0.0093722071871439,20264833,20264834
R05,JCheM supplied Test,Molecular weight,>=400 Da,2,86,True,exploratory_paired_row_bootstrap,exploratory_paired_row_bootstrap,0.6314390329852109,0.6972923053488372,0.6145858448837208,-0.0658532723636263,-0.1088338638237073,-0.0241356154253025,0.01685318810149,-0.0234247457685613,0.0578541842359777,20264843,20264844
R05,JCheM supplied Test,Rotatable bonds,0,3,130,False,exploratory_paired_row_bootstrap,exploratory_paired_row_bootstrap,0.4464318472769135,0.4647352360085384,0.4536005778768461,-0.0183033887316249,-0.0432357513948266,0.0069440349489043,-0.0071687305999326,-0.0327592028690222,0.019338971176027,20264853,20264854
R05,JCheM supplied Test,Rotatable bonds,1--4,4,568,False,exploratory_paired_row_bootstrap,exploratory_paired_row_bootstrap,0.4021200025636669,0.4287109460915493,0.410199703364845,-0.0265909435278823,-0.0399392767751008,-0.0131858635209836,-0.0080797008011781,-0.0216646510780884,0.0057302452120527,20264863,20264864
R05,JCheM supplied Test,Rotatable bonds,>=5,5,282,False,exploratory_paired_row_bootstrap,exploratory_paired_row_bootstrap,0.441284799769214,0.4846249763196454,0.4546739032879432,-0.0433401765504313,-0.0650885335107994,-0.0218335614516395,-0.0133891035187291,-0.0340986993586448,0.0069354968905078,20264873,20264874
R05,JCheM supplied Test,H-bond donor,no,6,389,False,exploratory_paired_row_bootstrap,exploratory_paired_row_bootstrap,0.3539185585614446,0.3819291341799485,0.3729834587320565,-0.0280105756185039,-0.0441173587414441,-0.0119168926541252,-0.0190649001706119,-0.0348949772131336,-0.0037725633058873,20264883,20264884
R05,JCheM supplied Test,H-bond donor,yes,7,591,False,exploratory_paired_row_bootstrap,exploratory_paired_row_bootstrap,0.4622813804681522,0.4941069512474619,0.4654635903818138,-0.0318255707793096,-0.0456517706542233,-0.0179687390048353,-0.0031822099136615,-0.0170629308625517,0.0106978338151816,20264893,20264894
R05,JCheM supplied Test,H-bond acceptor,no,8,87,True,exploratory_paired_row_bootstrap,exploratory_paired_row_bootstrap,0.2676101698119731,0.275595533724138,0.2926102135309194,-0.0079853639121648,-0.0315115866806114,0.0161574918852163,-0.0250000437189462,-0.0480317800290005,-0.0014253961912751,20264903,20264904
R05,JCheM supplied Test,H-bond acceptor,yes,9,893,False,exploratory_paired_row_bootstrap,exploratory_paired_row_bootstrap,0.4340431471035142,0.4665294848255878,0.4420184308905173,-0.0324863377220736,-0.0437042492816363,-0.0211235582282779,-0.007975283787003,-0.019363012042801,0.0034450009557096,20264913,20264914
R05,JCheM supplied Test,Aromatic ring,no,10,360,False,exploratory_paired_row_bootstrap,exploratory_paired_row_bootstrap,0.3811575339323081,0.4094470732201388,0.3823333824485055,-0.0282895392878306,-0.0437038990805948,-0.012577043390321,-0.0011758485161973,-0.0171228224762574,0.0144415608329997,20264923,20264924
R05,JCheM supplied Test,Aromatic ring,yes,11,620,False,exploratory_paired_row_bootstrap,exploratory_paired_row_bootstrap,0.4413966176152402,0.4728817661677418,0.455708918840258,-0.0314851485525016,-0.0452892571213809,-0.0176884165315914,-0.0143123012250177,-0.0278628844678099,-0.0009832743126758,20264933,20264934
R05,JCheM supplied Test,N-containing heterocycle,no,12,720,False,exploratory_paired_row_bootstrap,exploratory_paired_row_bootstrap,0.3924940836000251,0.4198917114590834,0.4031651170559194,-0.0273976278590583,-0.0397413546018911,-0.0153320987204466,-0.0106710334558943,-0.0224849557517374,0.0014200907757111,20264943,20264944
R05,JCheM supplied Test,N-containing heterocycle,yes,13,260,False,exploratory_paired_row_bootstrap,exploratory_paired_row_bootstrap,0.4934110574810069,0.5317908043565769,0.4996179349313845,-0.0383797468755699,-0.0583228519314166,-0.018307274656981,-0.0062068774503775,-0.0271805439849248,0.0145220208728142,20264953,20264954
R05,JCheM supplied Test,Carboxyl group,no,14,851,False,exploratory_paired_row_bootstrap,exploratory_paired_row_bootstrap,0.4105286550689148,0.4392686741850176,0.4227179088248766,-0.0287400191161028,-0.0397007169856292,-0.0179702880957733,-0.0121892537559618,-0.0232152411760055,-0.0012897283149074,20264963,20264964
R05,JCheM supplied Test,Carboxyl group,yes,15,129,False,exploratory_paired_row_bootstrap,exploratory_paired_row_bootstrap,0.4769203850653754,0.5175968965255814,0.4685783484686202,-0.0406765114602059,-0.0745626435945519,-0.0062017172068834,0.0083420365967552,-0.0257806542697705,0.0408819736750067,20264973,20264974
R09,ComPlat supplied Test,Molecular weight,<250 Da,0,921,False,exploratory_paired_row_bootstrap,descriptive_only_no_primary_paired_inference,0.3669370234443391,0.372725016179153,0.4503160438799132,-0.0057879927348138,-0.0153584858563055,0.0035424569661895,-0.083379020435574,-0.0988501000684671,-0.0677708250299224,20265823,20265824
R09,ComPlat supplied Test,Molecular weight,250--<400 Da,1,320,False,exploratory_paired_row_bootstrap,descriptive_only_no_primary_paired_inference,0.5058599250433814,0.4975515617499999,0.60545528934375,0.0083083632933814,-0.0108707190534511,0.0275250638225522,-0.0995953643003686,-0.1308089330904383,-0.0693366438634843,20265833,20265834
R09,ComPlat supplied Test,Molecular weight,>=400 Da,2,41,True,exploratory_paired_row_bootstrap,descriptive_only_no_primary_paired_inference,0.6032962949577059,0.595393199512195,0.7579237224390244,0.0079030954455108,-0.0593300533473378,0.0716009765793219,-0.1546274274813185,-0.2765685790907433,-0.0486479748452944,20265843,20265844
