evaluation_id,evaluation,n,configuration_id,representation_1,representation_2,predictor,rmse,mae,bias,dlg_sol_rmse,dlg_sol_lower_point_estimate
R01,AqSolDBc development OOF,8047,chemberta__murcko_gnn__xgb,ChemBERTa,Murcko-subgroup GNN,XGBoost,0.8899058322918192,0.6255512615061887,0.011859145961762149,0.80702,True
R01,AqSolDBc development OOF,8047,chemberta__atom_gnn__knn,ChemBERTa,atom-level 2D GNN,k-nearest neighbours,0.8911115200758785,0.6309723657435734,0.02645844159013349,0.80702,True
R01,AqSolDBc development OOF,8047,brics_gnn__three_d_gnn__rf,BRICS-subgroup GNN,3D-MPNN,random forest,0.8911223692747975,0.6137288099689983,3.2452968501651416e-05,0.80702,True
R01,AqSolDBc development OOF,8047,ecfp__chemberta__rf,ECFP,ChemBERTa,random forest,0.8912525636148099,0.6234809732170297,0.007969466274601161,0.80702,True
R01,AqSolDBc development OOF,8047,mordred__chemberta__ridge,Mordred,ChemBERTa,ridge regression,0.8916895144272144,0.6270367334040843,0.00519588223063303,0.80702,True
R01,AqSolDBc development OOF,8047,murcko_gnn__three_d_gnn__xgb,Murcko-subgroup GNN,3D-MPNN,XGBoost,0.8926120147600858,0.6238056316233889,0.0017221475763402488,0.80702,True
R01,AqSolDBc development OOF,8047,atom_gnn__brics_gnn__ridge,atom-level 2D GNN,BRICS-subgroup GNN,ridge regression,0.8936602343525062,0.6237196888915207,-0.003086769799298058,0.80702,True
R01,AqSolDBc development OOF,8047,atom_gnn__murcko_gnn__ridge,atom-level 2D GNN,Murcko-subgroup GNN,ridge regression,0.8951015300565583,0.6212339599991101,-0.0015883895934172081,0.80702,True
R01,AqSolDBc development OOF,8047,mordred__ecfp__mlp,Mordred,ECFP,multilayer perceptron,0.8956653579237159,0.6210380259951969,0.018276074708346957,0.80702,True
R01,AqSolDBc development OOF,8047,chemberta__brics_gnn__knn,ChemBERTa,BRICS-subgroup GNN,k-nearest neighbours,0.8966515697615266,0.6357107341063335,0.02276460920854333,0.80702,True
R01,AqSolDBc development OOF,8047,chemberta__murcko_gnn__knn,ChemBERTa,Murcko-subgroup GNN,k-nearest neighbours,0.8972665316314259,0.6368133926612722,0.021075153263947342,0.80702,True
R01,AqSolDBc development OOF,8047,mordred__three_d_gnn__mlp,Mordred,3D-MPNN,multilayer perceptron,0.899326079052437,0.6215912237371122,0.006267652843698684,0.80702,True
R01,AqSolDBc development OOF,8047,chemberta__atom_gnn__mlp,ChemBERTa,atom-level 2D GNN,multilayer perceptron,0.8997435354000525,0.6304967253108859,0.03377578196840768,0.80702,True
R01,AqSolDBc development OOF,8047,atom_gnn__three_d_gnn__rf,atom-level 2D GNN,3D-MPNN,random forest,0.9003709428003746,0.6224304128105805,-0.013035748245557794,0.80702,True
R01,AqSolDBc development OOF,8047,brics_gnn__three_d_gnn__mlp,BRICS-subgroup GNN,3D-MPNN,multilayer perceptron,0.9005751714382315,0.6233059531481587,0.008443786543960568,0.80702,True
R01,AqSolDBc development OOF,8047,murcko_gnn__three_d_gnn__ridge,Murcko-subgroup GNN,3D-MPNN,ridge regression,0.9008909947373408,0.6341337123808499,5.839881488224441e-05,0.80702,True
R01,AqSolDBc development OOF,8047,brics_gnn__three_d_gnn__xgb,BRICS-subgroup GNN,3D-MPNN,XGBoost,0.9026749555172965,0.6297507205868149,0.00361541573981608,0.80702,True
R01,AqSolDBc development OOF,8047,ecfp__chemberta__mlp,ECFP,ChemBERTa,multilayer perceptron,0.9054993635810695,0.6352958652228722,0.01368408724787396,0.80702,True
R01,AqSolDBc development OOF,8047,mordred__ecfp__xgb,Mordred,ECFP,XGBoost,0.9059998575070829,0.646507733796974,-0.0016853233237790449,0.80702,True
R01,AqSolDBc development OOF,8047,ecfp__atom_gnn__knn,ECFP,atom-level 2D GNN,k-nearest neighbours,0.9067111282423116,0.6283378266807557,0.038964310968038235,0.80702,True
R01,AqSolDBc development OOF,8047,mordred__murcko_gnn__mlp,Mordred,Murcko-subgroup GNN,multilayer perceptron,0.9070956333169314,0.6361624183551561,0.023119814658687503,0.80702,True
R01,AqSolDBc development OOF,8047,mordred__murcko_gnn__rf,Mordred,Murcko-subgroup GNN,random forest,0.9079577500976853,0.6247333241197712,0.005119116823227149,0.80702,True
R01,AqSolDBc development OOF,8047,atom_gnn__brics_gnn__mlp,atom-level 2D GNN,BRICS-subgroup GNN,multilayer perceptron,0.9084854606729962,0.6231310333496384,0.018962854026954617,0.80702,True
R01,AqSolDBc development OOF,8047,mordred__murcko_gnn__ridge,Mordred,Murcko-subgroup GNN,ridge regression,0.9090805584780932,0.6431598513119532,0.005499977099485574,0.80702,True
R01,AqSolDBc development OOF,8047,murcko_gnn__three_d_gnn__knn,Murcko-subgroup GNN,3D-MPNN,k-nearest neighbours,0.9094794267425851,0.6334717959431986,-0.019977484119942258,0.80702,True
R01,AqSolDBc development OOF,8047,brics_gnn__three_d_gnn__knn,BRICS-subgroup GNN,3D-MPNN,k-nearest neighbours,0.910001226174982,0.6352569223193519,-0.01115831650535048,0.80702,True
R01,AqSolDBc development OOF,8047,atom_gnn__three_d_gnn__xgb,atom-level 2D GNN,3D-MPNN,XGBoost,0.9103962278818294,0.6365262800348254,-0.00732911527030694,0.80702,True
R01,AqSolDBc development OOF,8047,chemberta__brics_gnn__mlp,ChemBERTa,BRICS-subgroup GNN,multilayer perceptron,0.9107549859463924,0.6453070879589538,0.02445445220325672,0.80702,True
R01,AqSolDBc development OOF,8047,mordred__chemberta__xgb,Mordred,ChemBERTa,XGBoost,0.9108554143967627,0.6464437752177022,0.008403013237461171,0.80702,True
R01,AqSolDBc development OOF,8047,brics_gnn__three_d_gnn__ridge,BRICS-subgroup GNN,3D-MPNN,ridge regression,0.9126493637666824,0.6422633637385823,-0.004410698243985816,0.80702,True
R01,AqSolDBc development OOF,8047,ecfp__chemberta__xgb,ECFP,ChemBERTa,XGBoost,0.9128369352576343,0.6476725046716825,0.005249492635022993,0.80702,True
R01,AqSolDBc development OOF,8047,chemberta__murcko_gnn__mlp,ChemBERTa,Murcko-subgroup GNN,multilayer perceptron,0.9130971064799804,0.6411442157840298,0.02038458146745139,0.80702,True
R01,AqSolDBc development OOF,8047,mordred__chemberta__knn,Mordred,ChemBERTa,k-nearest neighbours,0.9139398920609453,0.648773122705904,0.033110076460887504,0.80702,True
R01,AqSolDBc development OOF,8047,atom_gnn__three_d_gnn__knn,atom-level 2D GNN,3D-MPNN,k-nearest neighbours,0.9146034926914356,0.6433844165884643,-0.034971497189922686,0.80702,True
R01,AqSolDBc development OOF,8047,ecfp__atom_gnn__xgb,ECFP,atom-level 2D GNN,XGBoost,0.9164486258880541,0.6440697604710908,-0.004813754685680125,0.80702,True
R01,AqSolDBc development OOF,8047,atom_gnn__murcko_gnn__mlp,atom-level 2D GNN,Murcko-subgroup GNN,multilayer perceptron,0.9177851883061883,0.6270089734646618,-0.02033721212653159,0.80702,True
R01,AqSolDBc development OOF,8047,mordred__atom_gnn__mlp,Mordred,atom-level 2D GNN,multilayer perceptron,0.9182550923077805,0.6227385718542368,0.013582299909256391,0.80702,True
R01,AqSolDBc development OOF,8047,ecfp__murcko_gnn__rf,ECFP,Murcko-subgroup GNN,random forest,0.9192155372171706,0.6331969271744105,0.0009281817056513179,0.80702,True
R01,AqSolDBc development OOF,8047,mordred__chemberta__mlp,Mordred,ChemBERTa,multilayer perceptron,0.9193618522284688,0.6481747229501742,0.02532438739768174,0.80702,True
R01,AqSolDBc development OOF,8047,atom_gnn__three_d_gnn__ridge,atom-level 2D GNN,3D-MPNN,ridge regression,0.9210594265989328,0.6447872405179655,-0.002658730213861392,0.80702,True
R01,AqSolDBc development OOF,8047,mordred__atom_gnn__ridge,Mordred,atom-level 2D GNN,ridge regression,0.9219648335922886,0.6226427187753385,-0.006654310473972003,0.80702,True
R01,AqSolDBc development OOF,8047,ecfp__murcko_gnn__ridge,ECFP,Murcko-subgroup GNN,ridge regression,0.9231928364056785,0.6548851698118128,0.00469351738511204,0.80702,True
R01,AqSolDBc development OOF,8047,mordred__three_d_gnn__knn,Mordred,3D-MPNN,k-nearest neighbours,0.9238905836553788,0.6404296584463851,0.02520959575583432,0.80702,True
R01,AqSolDBc development OOF,8047,ecfp__chemberta__knn,ECFP,ChemBERTa,k-nearest neighbours,0.9243841380880473,0.6582314684915043,0.036300785609187286,0.80702,True
R01,AqSolDBc development OOF,8047,mordred__three_d_gnn__ridge,Mordred,3D-MPNN,ridge regression,0.9252840414217165,0.6509395635167394,-0.002744932231994797,0.80702,True
R01,AqSolDBc development OOF,8047,mordred__murcko_gnn__xgb,Mordred,Murcko-subgroup GNN,XGBoost,0.9271046501291015,0.658525677781818,0.00683106511473717,0.80702,True
R01,AqSolDBc development OOF,8047,mordred__brics_gnn__mlp,Mordred,BRICS-subgroup GNN,multilayer perceptron,0.927764921834883,0.6488076626380763,0.01647642224865423,0.80702,True
R01,AqSolDBc development OOF,8047,mordred__brics_gnn__rf,Mordred,BRICS-subgroup GNN,random forest,0.9340487251342489,0.6365640021513216,0.006501837101029431,0.80702,True
R01,AqSolDBc development OOF,8047,mordred__brics_gnn__ridge,Mordred,BRICS-subgroup GNN,ridge regression,0.9345078328479126,0.6596358651732792,0.004181708480306192,0.80702,True
R01,AqSolDBc development OOF,8047,atom_gnn__three_d_gnn__mlp,atom-level 2D GNN,3D-MPNN,multilayer perceptron,0.9373732602006395,0.6307311585614201,0.029725049179307735,0.80702,True
R01,AqSolDBc development OOF,8047,ecfp__murcko_gnn__mlp,ECFP,Murcko-subgroup GNN,multilayer perceptron,0.9398868943810362,0.6608464946079721,0.006345983575394463,0.80702,True
R01,AqSolDBc development OOF,8047,brics_gnn__murcko_gnn__rf,BRICS-subgroup GNN,Murcko-subgroup GNN,random forest,0.9405252854740245,0.6563401791346216,0.006950261260279315,0.80702,True
R01,AqSolDBc development OOF,8047,ecfp__murcko_gnn__knn,ECFP,Murcko-subgroup GNN,k-nearest neighbours,0.9443090983821595,0.6595957120954065,-0.003759051131055968,0.80702,True
R01,AqSolDBc development OOF,8047,ecfp__brics_gnn__rf,ECFP,BRICS-subgroup GNN,random forest,0.9448995216035264,0.644620210244799,0.0008157356094827573,0.80702,True
R01,AqSolDBc development OOF,8047,mordred__brics_gnn__xgb,Mordred,BRICS-subgroup GNN,XGBoost,0.9455438846262905,0.6640437942393874,0.002069853656250783,0.80702,True
R01,AqSolDBc development OOF,8047,ecfp__atom_gnn__ridge,ECFP,atom-level 2D GNN,ridge regression,0.9468270674896244,0.6400060697862979,-0.003467663333759096,0.80702,True
R01,AqSolDBc development OOF,8047,brics_gnn__murcko_gnn__knn,BRICS-subgroup GNN,Murcko-subgroup GNN,k-nearest neighbours,0.9468731108827958,0.6626424172759302,0.014776435909132397,0.80702,True
R01,AqSolDBc development OOF,8047,mordred__atom_gnn__knn,Mordred,atom-level 2D GNN,k-nearest neighbours,0.9510223140445611,0.6690139571981985,0.01343683176638169,0.80702,True
